left_capacity,right_capacity,required_fidelity,multiplexing,left_ttl_s,right_ttl_s,model_rate_hz,model_fidelity,raw_pair_fidelity,simulation_rate_hz,simulation_rate_std_hz,simulation_accepted_rate_hz,simulation_accepted_rate_std_hz,simulation_fidelity,simulation_fidelity_std,simulation_fidelity_min,simulation_fidelity_max,simulation_accepted_fidelity,simulation_below_target_count,simulation_delivered_count
3,3,0.75,True,0.031731112899149524,0.023798334674362147,298.63702590793173,0.8875602988143052,0.9099205336435602,300.015,5.337429771496442,299.616,5.346323573968914,0.8835256328177434,0.0005590293197534603,0.7296108911910014,0.9106877060224468,0.8837159112838026,399,300015
3,3,0.7822869764936485,True,0.023993478215508457,0.017995108661631343,298.3055784072241,0.8885957014850733,0.9099205336435602,299.825,4.803794270567734,298.708,4.84694384601933,0.8840905387359879,0.0005621313556054414,0.7692223906830716,0.9106877060224468,0.8844936392195046,1117,299825
3,3,0.8145739529872971,True,0.01706123996271858,0.012795929972038936,297.7280429899943,0.8901108928007971,0.9099205336435602,300.484,4.867283481044484,298.215,4.850687236533258,0.8859878266047507,0.0004144873346031508,0.8047971370604429,0.9106877060224468,0.8865575871031149,2269,300484
3,3,0.8468609294809456,True,0.010782428024622434,0.008086821018466826,296.47619075681115,0.892555597790115,0.9099205336435602,299.7,4.713295186507158,297.116,4.748518535588577,0.8906524062883509,0.0003268946048655922,0.8410110279383145,0.9106877060224468,0.8910436839114168,2584,299700
3,3,0.8791479059745941,True,0.005044401128487199,0.003783300846365399,292.01923915035684,0.8971804445411029,0.9099205336435602,297.091,4.992602507508463,296.632,5.0046418856937605,0.8993528589438217,0.00015965115595156188,0.8700161828319367,0.9106877060224468,0.8993863293267906,459,297091
4,2,0.75,True,0.031731112899149524,0.023798334674362147,360.834036683748,0.8995581166523203,0.9099205336435602,367.627,4.645120280923029,367.627,4.645120280923029,0.8987994421502046,0.00020319710917699778,0.7564399166569389,0.9106877060224468,0.8987994421502046,0,367627
4,2,0.7822869764936485,True,0.023993478215508457,0.017995108661631343,359.40510504107243,0.899713624902786,0.9099205336435602,368.088,4.963264647346136,368.081,4.9631916865230705,0.8988438712132331,0.000221367671871652,0.7555284299528008,0.9106877060224468,0.8988462841604048,7,368088
4,2,0.8145739529872971,True,0.01706123996271858,0.012795929972038936,357.0580184188523,0.8999592277241061,0.9099205336435602,368.575,5.112835403040654,368.49399999999997,5.1228902038208926,0.8988412346718277,0.00018377923436549917,0.7901869226249119,0.9106877060224468,0.8988608205461882,81,368575
4,2,0.8468609294809456,True,0.010782428024622434,0.008086821018466826,352.4495125033586,0.9004090658211399,0.9099205336435602,366.914,5.175466992055747,366.284,5.152320650038011,0.8990859508826703,0.0001993387389860911,0.823830237242898,0.9106877060224468,0.899183462687582,630,366914
4,2,0.8791479059745941,True,0.005044401128487199,0.003783300846365399,339.120149743097,0.9015140418876636,0.9099205336435602,362.914,5.318654420855415,358.384,5.390652590692091,0.9012929195192675,0.00014411862272427494,0.8687774783550422,0.9106877060224468,0.9016235779093927,4530,362914
